

Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system:  Equatorial
|name        |ra        |dec      |t90     |t90_error|flux_64 |flux_64_error|pflx_comp_epeak|pflx_comp_epeak_pos_err|pflx_comp_epeak_neg_err|pflx_comp_index|pflx_comp_index_pos_err|pflx_comp_index_neg_err|pflx_comp_phtflux|pflx_comp_phtflux_error|
|GRB100328141|10 23 45.6|+47 01 48|   0.384|    0.143| 13.4117|       0.7555|   4.945233e+02|           9.053143e+01|           9.053143e+01|  -4.142782e-02|           2.389126e-01|           2.389126e-01|     1.280507e+01|           1.123697e+00|
|GRB100411516|14 02 26.4|+47 54 36|   0.512|    0.231|  5.4608|       0.9443|   9.754105e+02|           2.178087e+03|           2.178087e+03|  -1.083448e+00|           4.873332e-01|           4.873332e-01|     7.946344e-01|           2.183325e-01|
|GRB100417166|17 25 14.4|+50 22 48|   0.192|    0.091|  7.3670|       0.8705|   3.054000e+02|           9.923685e+01|           9.923685e+01|  -7.074978e-01|           3.865926e-01|           3.865926e-01|     6.802486e+00|           1.091696e+00|
|GRB100516396|19 50 43.2|+18 39 36|   0.640|    0.487|  3.5431|       0.4657|   2.023892e+02|           3.057266e+01|           3.057266e+01|   7.473404e+00|           5.821262e+00|           5.821262e+00|     2.103553e+00|           4.792874e-01|
|GRB100525744|16 47 16.8|+41 02 24|   1.472|    1.974|  8.7446|       0.9607|   4.344489e+02|           1.486093e+02|           1.486093e+02|  -4.443715e-01|           4.286857e-01|           4.286857e-01|     8.090392e+00|           1.228717e+00|
|GRB100612545|04 14 07.2|+13 44 24|   0.576|    0.181| 12.3175|       1.0333|   6.256821e+02|           1.208429e+02|           1.208429e+02|   3.650942e-01|           4.144420e-01|           4.144420e-01|     1.201514e+01|           1.184127e+00|
|GRB100616773|22 51 38.4|+03 05 24|   0.192|    0.143|  8.4258|       1.3386|   2.066331e+02|           4.196974e+01|           4.196974e+01|   4.934243e-01|           8.778241e-01|           8.778241e-01|     6.918989e+00|           1.460724e+00|
|GRB100621529|10 43 26.4|+14 43 12|   1.024|    0.202|  2.8690|       0.6431|               |                       |                       |               |                       |                       |                 |                       |
|GRB100625773|01 03 10.8|-39 05 18|   0.240|    0.276| 17.0794|       2.6192|   4.023665e+02|           6.699106e+01|           6.699106e+01|   3.004639e-01|           5.098420e-01|           5.098420e-01|     1.651951e+01|           2.065861e+00|
|GRB100629801|15 24 50.4|+27 48 36|   0.832|    0.373| 18.7931|       1.8029|   2.327175e+02|           3.366685e+01|           3.366685e+01|  -3.734581e-01|           3.284216e-01|           3.284216e-01|     1.873355e+01|           2.366495e+00|
|GRB100706693|17 00 38.4|+46 53 24|   0.128|    0.143|  3.8422|       0.6945|   7.987237e+02|           3.112353e+02|           3.112353e+02|  -9.414773e-02|           7.108005e-01|           7.108005e-01|     4.154917e+00|           8.408122e-01|
